status,open_id,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1617658622,"2021-04-06, 04:37:02",0.896475,buy,6.7,,,0.004831564,close 0.907,1617658685,"2021-04-06, 04:38:04",0.9073,0.06769593600000053,0.385,0.021636216000000458
close,1617658622,"2021-04-06, 04:37:02",0.512975,sell,11.7,,,0.00481722,close 0.516325,1617658685,"2021-04-06, 04:38:05",0.5165,-0.04605972000000007,0.385,0.021636216000000458
close,1617658476,"2021-04-06, 04:34:35",0.912575,buy,6.6,,,0.004840384,close 0.9205,1617658820,"2021-04-06, 04:40:19",0.9206,0.04812461599999948,0.395,0.014314136000000456
close,1617658476,"2021-04-06, 04:34:36",0.517,sell,11.6,,,0.00481048,close 0.5195,1617658820,"2021-04-06, 04:40:20",0.5195,-0.033810479999999025,0.395,0.014314136000000456
close,1617659020,"2021-04-06, 04:43:39",0.91055,buy,6.6,,,0.004820352,close 0.91705,1617659173,"2021-04-06, 04:46:13",0.9168,0.03642964799999979,0.39,0.03337057799999932
close,1617659020,"2021-04-06, 04:43:40",0.5206,sell,11.5,,,0.00478407,close 0.52045,1617659173,"2021-04-06, 04:46:13",0.52045,-0.003059070000000467,0.39,0.03337057799999932
close,1617659061,"2021-04-06, 04:44:20",0.9166,buy,6.5,,,0.00477967,close 0.9227,1617659184,"2021-04-06, 04:46:24",0.92295,0.03649533000000062,0.395,0.033709160000000814
close,1617659061,"2021-04-06, 04:44:21",0.521625,sell,11.5,,,0.00479867,close 0.52145,1617659184,"2021-04-06, 04:46:24",0.52145,-0.002786169999999805,0.395,0.033709160000000814
close,1617659590,"2021-04-06, 04:53:10",0.907025,buy,6.6,,,0.004804676,close 0.914675,1617659648,"2021-04-06, 04:54:08",0.91465,0.04552032399999995,0.385,0.024612338999999282
close,1617659590,"2021-04-06, 04:53:10",0.522075,sell,11.5,,,0.004807985,close 0.5231,1617659648,"2021-04-06, 04:54:08",0.523475,-0.02090798500000067,0.385,0.024612338999999282
close,1617661205,"2021-04-06, 05:20:05",0.862775,buy,7.0,,,0.0048595,close 0.8707,1617661223,"2021-04-06, 05:20:22",0.87125,0.05446550000000029,0.33,0.029297186999999378
close,1617661205,"2021-04-06, 05:20:05",0.533225,sell,11.3,,,0.004828313000000001,close 0.534775,1617661223,"2021-04-06, 05:20:23",0.535025,-0.025168313000000914,0.33,0.029297186999999378
close,1617661217,"2021-04-06, 05:20:17",0.86925,buy,6.9,,,0.00482328,close 0.8776,1617661262,"2021-04-06, 05:21:02",0.878,0.05555172000000051,0.335,0.03759144799999956
close,1617661218,"2021-04-06, 05:20:17",0.5346,sell,11.2,,,0.0048002719999999995,close 0.53575,1617661262,"2021-04-06, 05:21:02",0.535775,-0.01796027200000095,0.335,0.03759144799999956
close,1617661076,"2021-04-06, 05:17:56",0.87245,buy,6.9,,,0.004845424,close 0.882525,1617661388,"2021-04-06, 05:23:08",0.8824,0.06380957600000058,0.34,0.016032900999999933
close,1617661076,"2021-04-06, 05:17:56",0.533075,sell,11.3,,,0.004836675,close 0.5368,1617661388,"2021-04-06, 05:23:08",0.536875,-0.04777667500000064,0.34,0.016032900999999933
close,1617659685,"2021-04-06, 04:54:45",0.90995,buy,6.6,,,0.004852031999999999,close 0.93055,1617667579,"2021-04-06, 07:06:19",0.9288,0.11955796799999924,0.385,0.0018717879999988335
close,1617659685,"2021-04-06, 04:54:45",0.52435,sell,11.4,,,0.004826180000000001,close 0.534225,1617667579,"2021-04-06, 07:06:19",0.53425,-0.1176861800000004,0.385,0.0018717879999988335
close,1617667471,"2021-04-06, 07:04:31",0.928925,buy,6.5,,,0.00483787,close 0.9298,1617667585,"2021-04-06, 07:06:24",0.92995,0.0018246300000009036,0.39,0.04395950500000005
close,1617667471,"2021-04-06, 07:04:31",0.5386,sell,11.1,,,0.004762625,close 0.534375,1617667585,"2021-04-06, 07:06:25",0.534375,0.04213487499999915,0.39,0.04395950500000005
close,1617659379,"2021-04-06, 04:49:39",0.918175,buy,6.5,,,0.00482932,close 0.9383,1617667606,"2021-04-06, 07:06:46",0.9382,0.12533317999999996,0.395,0.0043323000000006495
close,1617659379,"2021-04-06, 04:49:39",0.5227,sell,11.5,,,0.00485088,close 0.5328,1617667606,"2021-04-06, 07:06:46",0.5328,-0.12100087999999931,0.395,0.0043323000000006495
close,1617671935,"2021-04-06, 08:18:55",0.82525,buy,7.3,,,0.004844331,close 0.8336,1617671964,"2021-04-06, 08:19:24",0.833675,0.05665816900000046,0.32,0.021198422000000557
close,1617671936,"2021-04-06, 08:18:55",0.50525,sell,11.9,,,0.004817247,close 0.50745,1617671964,"2021-04-06, 08:19:24",0.507825,-0.0354597469999999,0.32,0.021198422000000557
close,1617671985,"2021-04-06, 08:19:44",0.831925,buy,7.2,,,0.0048136559999999995,close 0.838075,1617672001,"2021-04-06, 08:20:01",0.838075,0.039466343999999653,0.325,0.030848775999999176
close,1617671985,"2021-04-06, 08:19:45",0.506575,sell,11.8,,,0.004782568000000001,close 0.5069,1617672001,"2021-04-06, 08:20:01",0.5069,-0.008617568000000478,0.325,0.030848775999999176
close,1617672249,"2021-04-06, 08:24:09",0.827225,buy,7.2,,,0.0047776,close 0.8325,1617672392,"2021-04-06, 08:26:32",0.8325,0.03320240000000101,0.32,0.03961924200000118
close,1617672250,"2021-04-06, 08:24:09",0.507975,sell,11.8,,,0.0047931580000000005,close 0.507025,1617672393,"2021-04-06, 08:26:32",0.507025,0.006416842000000164,0.32,0.03961924200000118
